Id, Title, Isbn, Year, CallNumber, CcbcCollection, Genres, NewEdition, NonUsPublisher, Publisher, OriginallyPublishedIn, Translated, TranslatedNotes, Subject, Subject Disability Notes, Subject Heritage/Region Notes, Subject Lgbtq Notes, Subject Religion Notes, Primary Character 1, PrimaryCharacterDisabilityNotes 1, PrimaryCharacterHeritageNotes 1, PrimaryCharacterSexualityNotes 1, PrimaryCharacterTypeNotes 1, PrimaryCharacterReligionNotes 1, PrimaryCharacterHeritageByNotes 1, PrimaryCharacterGenderNotes 1, Primary Character 2, PrimaryCharacterDisabilityNotes 2, PrimaryCharacterHeritageNotes 2, PrimaryCharacterSexualityNotes 2, PrimaryCharacterTypeNotes 2, PrimaryCharacterReligionNotes 2, PrimaryCharacterHeritageByNotes 2, PrimaryCharacterGenderNotes 2, Primary Character 3, PrimaryCharacterDisabilityNotes 3, PrimaryCharacterHeritageNotes 3, PrimaryCharacterSexualityNotes 3, PrimaryCharacterTypeNotes 3, PrimaryCharacterReligionNotes 3, PrimaryCharacterHeritageByNotes 3, PrimaryCharacterGenderNotes 3, Primary Character 4, PrimaryCharacterDisabilityNotes 4, PrimaryCharacterHeritageNotes 4, PrimaryCharacterSexualityNotes 4, PrimaryCharacterTypeNotes 4, PrimaryCharacterReligionNotes 4, PrimaryCharacterHeritageByNotes 4, PrimaryCharacterGenderNotes 4, Primary Character 5, PrimaryCharacterDisabilityNotes 5, PrimaryCharacterHeritageNotes 5, PrimaryCharacterSexualityNotes 5, PrimaryCharacterTypeNotes 5, PrimaryCharacterReligionNotes 5, PrimaryCharacterHeritageByNotes 5, PrimaryCharacterGenderNotes 5, Secondary Character 1, SecondaryCharacterDisabilityNotes 1, SecondaryCharacterHeritageNotes 1, SecondaryCharacterSexualityNotes 1, SecondaryCharacterTypeNotes 1, SecondaryCharacterReligionNotes 1, SecondaryCharacterHeritageByNotes 1, SecondaryCharacterGenderNotes 1, Secondary Character 2, SecondaryCharacterDisabilityNotes 2, SecondaryCharacterHeritageNotes 2, SecondaryCharacterSexualityNotes 2, SecondaryCharacterTypeNotes 2, SecondaryCharacterReligionNotes 2, SecondaryCharacterHeritageByNotes 2, SecondaryCharacterGenderNotes 2, Secondary Character 3, SecondaryCharacterDisabilityNotes 3, SecondaryCharacterHeritageNotes 3, SecondaryCharacterSexualityNotes 3, SecondaryCharacterTypeNotes 3, SecondaryCharacterReligionNotes 3, SecondaryCharacterHeritageByNotes 3, SecondaryCharacterGenderNotes 3, Secondary Character 4, SecondaryCharacterDisabilityNotes 4, SecondaryCharacterHeritageNotes 4, SecondaryCharacterSexualityNotes 4, SecondaryCharacterTypeNotes 4, SecondaryCharacterReligionNotes 4, SecondaryCharacterHeritageByNotes 4, SecondaryCharacterGenderNotes 4, Secondary Character 5, SecondaryCharacterDisabilityNotes 5, SecondaryCharacterHeritageNotes 5, SecondaryCharacterSexualityNotes 5, SecondaryCharacterTypeNotes 5, SecondaryCharacterReligionNotes 5, SecondaryCharacterHeritageByNotes 5, SecondaryCharacterGenderNotes 5, Contributors, ContributorTypes, Contributor Identity, ContributorDisabilityNotes, ContributorLgbtqNotes, ContributorSpecificCulture, GenderMarkerNotes, Gender Markers
"31","A Sky Full of Stars","9780544800656","2018","Jackson","Fiction","Historical, Series Fiction","No","No","Houghton Mifflin Harcourt","","No","","Black/African, Christian","","","","","Black/African, Christian, Female, Human, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Female, Human, Male, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Linda Williams Jackson","Author","Black/African, Female (Linda Williams Jackson)","","","African American","",""
"75","The Night Before My First Communion","9781524786199","2018","Wing","Picture Book","Contemporary","No","No","Grosset & Dunlap / Penguin","","No","","Brown Skin Unspecified, Christian","","","","Catholic","Brown Skin, Christian, Female, Human, Male","","","","","Catholic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Natasha Wing, Amy Wummer","Author, Illustrator","Female, White (Natasha Wing), Female, Heritage Unknown (Amy Wummer)","","","","The girl's closet is filled with pink items and a dress; the boy's closet is filled with blue items and a suit.","Clothing, Color"
"99","Martin Rising: Requiem for a King","9780545702539","2018","811 Pinkney","Non-Fiction","Biography/History, Poetry","No","No","Scholastic","","No","","Black/African, Christian","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Andrea Davis Pinkney, Brian Pinkney","Author, Illustrator","Black/African, Female (Andrea Davis Pinkney), Black/African, Male (Brian Pinkney)","","","African American","",""
"123","The Book of Boy","9780062686206","2018","Murdock","Fiction","Historical","No","No","Greenwillow / HarperCollins","","No","","Christian, Physical","Primary character is termed ""a hunchback.""","","","","Confirmed White, Human, Male, Physical","He is termed a ""hunchback.""","Presumed white as the book is set in medieval France.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Catherine Gilbert Murdock, Ian Schoenherr","Author, Illustrator","Female, White (Catherine Gilbert Murdock), Male, White (Ian Schoenherr)","","","","",""
"165","The Dangerous Art of Blending In","9780062659002","2018","Surmelis","Fiction","Contemporary","No","No","Balzer + Bray / HarperCollins","","No","","Christian, LGBTQ Character/Topic","","","Primary character is gay.","","Confirmed White, Human, LGBTQ+, Male, Text, Text","","","Gay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, Confirmed White, Female, Human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Angelo Surmelis","Author","LGBTQ, Male, White (Angelo Surmelis)","","","Greek","",""
"234","Let the Children March","9780544704527","2018","Clark-Robinson","Picture Book","Historical","No","No","Houghton Mifflin Harcourt","","No","","Black/African, Christian","","","","","Black/African, Christian, Female, Human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Black/African, Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Frank Morrison, Monica Clark-Robinson","Author, Illustrator","Black/African, Male (Frank Morrison), Female, White (Monica Clark-Robinson)","","","African American","",""
"251","One True Way","9781338181722","2018","Hitchcock","Fiction","Historical","No","No","Scholastic","","No","","Christian, LGBTQ Character/Topic","","","Lesbian (primary)","","Confirmed White, Female, Human, LGBTQ+","","","Lesbian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed White, Female, Human, LGBTQ+","","","Lesbian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Shannon Hitchcock","Author","Female, White (Shannon Hitchcock)","","","","",""
"335","Playing Atari with Saddam Hussein","9780544785076","2018","Roy","Fiction","Historical","No","No","Houghton Mifflin Harcourt","","No","","Arab, Asian, Christian, Middle East","","Iraqi/Kurdish; Iraq setting (Arab country in West Asia)","","","Asian, Christian, Human, Male, Middle East, Text","","Iraqi/Kurdish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jennifer Roy, Ali Fadhil","Author","Female, White (Jennifer Roy), Asian, Male, Middle East (Ali Fadhil)","","","Kurdish-Iraqi","",""
"379","Martin Luther King Jr.: A Peaceful Leader","9780062432766","2018","323 Albee","Non-Fiction","Biography/History","No","No","Harper","","No","","Black/African, Christian","","","","","Black/African, Christian, Human, Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sarah Albee, Chin Ko","Author, Illustrator","Female, White (Sarah Albee), Asian, Male (Chin Ko)","","","Taiwanese","",""
"380","A Girl Named Rosa","9781338193077","2018","323 Patrick","Non-Fiction","Biography/History, Series Non-fiction","No","No","Scholastic","","No","","Black/African, Christian","","","","","Black/African, Female, Human, Text, Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian, None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Denise Lewis Patrick, Melissa Manwill","Author, Illustrator","Black/African, Female (Denise Lewis Patrick), Female, White (Melissa Manwill)","","","African American","",""
