Country,Area,Temples,Temples,Temples,Temples,Mis­sions,Dis­tricts,Stakes,Con­gre­ga­tions,Con­gre­ga­tions,Con­gre­ga­tions,FHC
Country,Area,O,U,A,T,Mis­sions,Dis­tricts,Stakes,Wards,Bran­ches,Total,FHC
Albania,Europe Central,0,0,0,0,1,1,1,6,8,14,4
American Samoa,Pacific,0,1,0,1,0,0,5,38,5,43,5
Andorra,Europe Central,0,0,0,0,0,0,0,0,1,1,0
Angola,Africa South,0,0,0,0,1,1,1,8,11,19,1
Antigua and Barbuda,Caribbean,0,0,0,0,0,0,0,0,1,1,1
Argentina,SA South,2,3,1,6,13,27,78,484,242,726,133
Armenia,Europe East,0,0,0,0,1,1,0,0,5,5,4
Aruba,Caribbean,0,0,0,0,0,1,0,0,2,2,2
Australia,Pacific,5,0,0,5,5,7,41,236,74,310,143
Austria,Europe Central,0,0,1,1,0,0,2,14,3,17,12
Bahamas,Caribbean,0,0,0,0,0,0,0,0,3,3,1
Bahrain,ME/AN,0,0,0,0,0,0,1,1,0,1,0
Bangladesh,Asia,0,0,0,0,0,0,0,0,1,1,0
Barbados,Caribbean,0,0,0,0,1,1,0,0,3,3,1
Belarus,Europe East,0,0,0,0,0,1,0,0,3,3,1
Belgium,Europe Central,0,0,1,1,0,0,2,10,2,12,8
Belize,Central America,0,0,0,0,0,2,0,0,12,12,2
Benin,Africa West,0,0,0,0,1,0,2,14,6,20,3
Bermuda,North America*,0,0,0,0,0,0,0,0,1,1,0
Bolivia,SA Northwest,1,0,2,3,5,8,33,209,63,272,53
Bonaire,Caribbean,0,0,0,0,0,0,0,0,1,1,1
Bosnia and Herzegovina,Europe Central,0,0,0,0,0,0,0,0,2,2,0
Botswana,Africa South,0,0,0,0,0,0,1,9,7,16,2
Brazil,Brazil,9,2,9,20,36,40,281,"1,773",403,"2,176",454
British Virgin Islands,Caribbean,0,0,0,0,0,0,0,0,1,1,0
Bulgaria,Europe Central,0,0,0,0,1,0,0,0,7,7,4
Burundi,Africa Central,0,0,0,0,0,1,0,0,4,4,1
Cambodia,Asia,0,1,0,1,1,4,2,10,18,28,11
Cameroon,Africa Central,0,0,0,0,1,2,0,0,15,15,1
Canada,North America*,9,0,1,10,6,4,53,349,144,493,154
Cape Verde,Europe North,1,0,0,1,1,1,4,28,13,41,6
Cayman Islands,Caribbean,0,0,0,0,0,1,0,0,1,1,0
Central African Republic,Africa Central,0,0,0,0,0,0,0,0,1,1,0
Chile,SA South,2,1,1,4,10,16,74,415,157,572,103
China(mainland),Asia,0,0,1,1,0,12,0,0,65,65,0
Colombia,SA Northwest,2,0,1,3,5,10,30,175,82,257,53
Cook Islands,Pacific,0,0,0,0,0,1,0,0,5,5,3
Costa Rica,Central America,1,0,0,1,2,1,10,59,19,78,27
Croatia,Europe Central,0,0,0,0,1,1,0,0,6,6,4
Cuba,Caribbean,0,0,0,0,0,1,0,0,5,5,0
Curaçao,Caribbean,0,0,0,0,0,0,0,0,1,1,1
Cyprus,Europe Central,0,0,0,0,0,1,0,0,5,5,3
Czechia,Europe Central,0,0,0,0,1,0,1,7,5,12,2
Democratic Republic of the Congo,Africa Central,1,1,1,3,4,3,26,223,46,269,24
Denmark,Europe North,1,0,0,1,1,0,2,13,8,21,12
Djibouti,Africa Central,0,0,0,0,0,0,0,0,1,1,0
Dominica,Caribbean,0,0,0,0,0,0,0,0,1,1,0
Dominican Republic,Caribbean,1,0,0,1,3,8,22,144,59,203,33
Ecuador,SA Northwest,2,0,0,2,6,5,42,263,54,317,57
Egypt,ME/AN,0,0,0,0,0,0,0,0,2,2,0
El Salvador,Central America,1,0,0,1,3,0,22,127,28,155,49
Estonia,Europe North,0,0,0,0,0,1,0,0,4,4,2
Eswatini,Africa South,0,0,0,0,0,1,0,0,6,6,2
Ethiopia,Africa Central,0,0,0,0,1,1,0,0,6,6,1
Federated States of Micronesia,Asia North,0,0,0,0,0,2,1,5,18,23,11
Fiji,Pacific,1,0,0,1,1,3,4,27,25,52,11
Finland,Europe North,1,0,0,1,1,0,3,18,11,29,29
France,Europe Central,1,0,0,1,2,0,10,68,40,108,73
French Guiana,Caribbean,0,0,0,0,0,0,0,0,1,1,1
French Polynesia,Pacific,1,0,0,1,1,2,11,75,22,97,29
Gabon,Africa Central,0,0,0,0,0,0,0,0,2,2,1
Georgia,Europe East,0,0,0,0,0,0,0,0,2,2,1
Germany,Europe Central,2,0,1,3,3,0,14,96,52,148,97
Ghana,Africa West,1,0,1,2,4,10,29,201,152,353,75
Greece,Europe Central,0,0,0,0,0,0,0,0,2,2,1
Grenada,Caribbean,0,0,0,0,0,0,0,0,1,1,0
Guadeloupe,Caribbean,0,0,0,0,0,1,0,0,3,3,1
Guam,Asia North,1,0,0,1,1,0,1,4,1,5,2
Guatemala,Central America,2,2,2,6,7,12,51,297,142,439,84
Guernsey,Europe North,0,0,0,0,0,0,0,0,1,1,1
Guinea,Africa West,0,0,0,0,0,0,0,0,1,1,0
Guyana,Caribbean,0,0,0,0,0,2,0,0,12,12,4
Haiti,Caribbean,1,0,0,1,1,4,5,31,19,50,13
Honduras,Central America,1,1,0,2,4,5,31,178,58,236,78
Hong Kong,Asia,1,0,0,1,1,1,6,30,5,35,5
Hungary,Europe Central,0,0,1,1,1,2,1,5,16,21,13
Iceland,Europe North,0,0,0,0,0,0,0,0,3,3,1
India,Asia,0,1,0,1,2,3,4,21,24,45,20
Indonesia,Asia,0,0,1,1,1,1,2,16,8,24,7
Ireland,Europe North,0,0,0,0,0,1,1,5,8,13,3
Isle of Man,Europe North,0,0,0,0,0,0,0,1,0,1,0
Israel,ME/AN,0,0,0,0,0,1,0,0,3,3,0
Italy,Europe Central,1,0,0,1,2,0,10,63,31,94,56
Ivory Coast,Africa West,0,1,0,1,3,16,18,140,117,257,43
Jamaica,Caribbean,0,0,0,0,1,1,1,6,12,18,7
Japan,Asia North,3,1,0,4,6,11,22,143,88,231,63
Jersey,Europe North,0,0,0,0,0,0,0,1,0,1,1
Jordan,ME/AN,0,0,0,0,0,1,0,0,3,3,1
Kazakhstan,Europe East,0,0,0,0,0,0,0,0,3,3,1
